Authors,Title,DOI,Link,Abstract,Author Keywords,Index Keywords
"Abbasi R., Martinez P., Ahmad R.","An ontology model to represent aquaponics 4.0 system's knowledge","10.1016/j.inpa.2021.12.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122809334&doi=10.1016%2fj.inpa.2021.12.001&partnerID=40&md5=e8528d133d47189d1e509725ade28060","Aquaponics, one of the vertical farming methods, is a combination of aquaculture and hydroponics. To enhance the production capabilities of the aquaponics system and maximize crop yield on a commercial level, integration of Industry 4.0 technologies is needed. Industry 4.0 is a strategic initiative characterized by the fusion of emerging technologies such as big data and analytics, internet of things, robotics, cloud computing, and artificial intelligence. The realization of aquaponics 4.0, however, requires an efficient flow and integration of data due to the presence of complex biological processes. A key challenge in this essence is to deal with the semantic heterogeneity of multiple data resources. An ontology that is regarded as one of the normative tools solves the semantic interoperation problem by describing, extracting, and sharing the domains’ knowledge. In the field of agriculture, several ontologies are developed for the soil-based farming methods, but so far, no attempt has been made to represent the knowledge of the aquaponics 4.0 system in the form of an ontology model. Therefore, this study proposes a unified ontology model, AquaONT, to represent and store the essential knowledge of an aquaponics 4.0 system. This ontology provides a mechanism for sharing and reusing the aquaponics 4.0 system's knowledge to solve the semantic interoperation problem. AquaONT is built from indoor vertical farming terminologies and is validated and implemented by considering experimental test cases related to environmental parameters, design configuration, and product quality. The proposed ontology model will help vertical farm practitioners with more transparent decision-making regarding crop production, product quality, and facility layout of the aquaponics farm. For future work, a decision support system will be developed using this ontology model and artificial intelligence techniques for autonomous data-driven decisions. © 2021 China Agricultural University","Aquaponics 4.0; Decision support system; Industry 4.0; Knowledge modeling; Ontology modeling","Agricultural technology; Artificial intelligence; Crops; Cultivation; Data Analytics; Decision making; Decision support systems; Hydroponics; Industry 4.0; Product design; Quality control; Semantics; Aquaponic; Aquaponic 4.0; Aquaponic system; Interoperation problem; Knowledge model; Ontology model; Ontology's; Production capabilities; Products quality; System knowledge; Ontology; aquaculture; automation; decision support system; hydroponics; knowledge; modeling"
"Abdollahnejadbarough H., Mupparaju K.S., Shah S., Golding C.P., Leites A.C., Popp T.D., Shroyer E., Golany Y.S., Robinson A.G., Akgun V.","Verizon uses advanced analytics to rationalize its tail spend suppliers","10.1287/inte.2020.1038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087161022&doi=10.1287%2finte.2020.1038&partnerID=40&md5=a24b23a4a1a432709faa5d4969f14788","The Verizon Global Supply Chain organization currently manages thousands of active supplier contracts. These contracts account for several billion dollars of annualized Verizon spend. Managing thousands of suppliers, controlling spend, and achieving the best price per unit (PPU) through negotiations are costly and labor-intensive tasks handled by Verizon strategic sourcing teams. Verizon engages thousands of suppliers for many reasons-best price, diversity, short-term requirements, and so forth. Whereas managing a few larger spend suppliers can be done manually by dedicated sourcing managers, managing thousands of smaller suppliers at the tail spend is challenging, can often introduce risk, and can be expensive. At Verizon, a unique blend of descriptive, predictive, and prescriptive analytics, as well as Verizon-specific sourcing acumen was leveraged to tackle this problem and rationalize Verizon's tail spend suppliers. Through the creative application of operations research, machine learning, text mining, natural language processing, and artificial intelligence, Verizon reduced spend by millions of dollars and acquired the lowest PPU for the sourced products and services. Other benefits Verizon realized were centralized and transparent contract and supplier relationship management, overhead cost reduction, decreased contract execution lead time, and service quality improvement for Verizon's strategic sourcing teams. © 2020 INFORMS Inst.for Operations Res.and the Management Sciences. All rights reserved.","Business process outsourcing; Global procurement; Spend analytics; Strategic sourcing; Supplier rationalization",
"Aejas B., Bouras A., Belhi A., Gasmi H.","Smart Contracts Implementation Based on Bidirectional Encoder Representations from Transformers","10.1007/978-3-030-94335-6_21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125260403&doi=10.1007%2f978-3-030-94335-6_21&partnerID=40&md5=8c546d0a2158dcc144450c521db38704","The distribution and immutability properties of blockchains made it possible to use them in various fields, such as Supply Chain, finance and health. The automation of the creation and execution of transactions in a blockchain in a decentralized and transparent manner is realized through Smart Contracts programming codes. This paper presents the implementation of Smart Contracts in specific manufacturing Supply Chains and discusses their life cycle and impact on the Supply Chain management. The presented application deals with the possibility of transforming natural language contracts of a given Supply Chain to automated Smart Contracts that makes the Supply Chain management faster and safer. A first solution is proposed based on Bidirectional Encoder Representations from Transformers (BERT) model and limited to the implementation of Smart Contracts of the Supply Chain legal contracts. Also described here is the ways of extracting contract elements from legal contracts by applying the BERT Deep Learning method on annotated contract dataset of a corpus of 13000 annotations over 510 contracts. © 2022, IFIP International Federation for Information Processing.","BERT; Blockchain; NLP; Smart Contract; Supply chain","Blockchain; Deep learning; Life cycle; Signal encoding; Supply chain management; Bidirectional encoder representation from transformer; Block-chain; Decentralised; Learning methods; Legal contracts; Natural languages; Programming codes; Property; Supply chain finances; Transformer modeling; Smart contract"
"Aguilar-Palacios C., Munoz-Romero S., Rojo-Alvarez J.L.","Causal Quantification of Cannibalization during Promotional Sales in Grocery Retail","10.1109/ACCESS.2021.3062222","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101755246&doi=10.1109%2fACCESS.2021.3062222&partnerID=40&md5=2720a7a194c134d291dba26477f2faff","In food and grocery retail, sales cannibalisation during promotions occurs when a promoted product has a knock-on effect on the sales of a non-promoted one. The quantification of its effect is important for retailers, as cannibalisation can lead to wasted food and lost profits. The performance of promotions is ultimately dependent on their features but also on the characteristics of the stores, i.e. type of store or its location. Generally speaking, there is no homogeneous response to a promotion, and by extension to sales cannibalisation. Accordingly, in this paper we describe a framework to analyse the effects of cannibalisation due to individual promotions based on the relationship amongst their sales. The novelty of our work resides in understanding cannibalisation as a causal effect where the increase in sales of the promoted product is partly due to the decrease in sales of the non-promoted one. As such, we propose to use causal inference to measure the impact of cannibalisation due to promotions. Our method reviews each product that has been on promotion, searching for potential cannibals, given by products whose promotion have resulted in large sales uplifts, and for the fall-outs, given by those products experiencing a reduction in sales due to the cannibals. Then each cannibal-victim pair is analysed with Causal Impact, a time-series method which allows one to infer the causal effect of an intervention. We demonstrate the practical application of detecting cannibalisation on vast datasets of promotions within several stores and their many departments. To provide with an overview of the cannibalisation for entire departments and not simply for individual products, we build a directed graph. This is both unique and of utmost value to store managers and marketing teams. Additionally, we discuss in the Appendix the application of explainable forecasting to cannibalisation on a surrogate model. © 2013 IEEE.","Causal inference; interpretable machine learning (iML); retail promotions; sales cannibalization; supply chain","Chemical contamination; Directed graphs; Human resource management; Causal inferences; Knock-on effect; Large sales; Marketing team; Surrogate model; Time series method; Sales"
"Aguilar-Palacios C., Munoz-Romero S., Rojo-Alvarez J.L.","Cold-Start Promotional Sales Forecasting through Gradient Boosted-Based Contrastive Explanations","10.1109/ACCESS.2020.3012032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089577655&doi=10.1109%2fACCESS.2020.3012032&partnerID=40&md5=e45e58d49cf3ab8f30e7eb77197c5bde","Multiple Machine Learning solutions in Industry exist where interpretability is required. In retail, this is especially important when dealing with cold-start forecasting of promotional sales. In the planning phase of these promotions, retailers produce sales predictions that are scrutinised by both forecasting experts and managers. In this paper, we combine the predictive benefits of Gradient Boosted Decision Trees regressors and the interpretability of contrastive explanations. These are implicitly generated by the manner we shape data. Our method presents the cold-start forecasts in relation to the observed promotional sales of other products, which we call neighbours. They are selected based on a measure of closeness to the predicted promotion, which is derived from the variable importance calculated during the training of the regressors. With this information, the expert reviewer adjusts the cold-start prediction by simply varying the contribution of the neighbours. To validate our results we test our method on a surrogate model, as well as on real-market data. The results on the surrogate model demonstrate that our method is able to accurately identify the features that contribute to sales and then select the closest neighbours to produce a contrastive explanation. The results on real-market data also show that the proposed method performs at a similar level to widespread methods such as conventional CatBoost, NGBoost or AutoGluon, and has the advantage of providing interpretability. © 2013 IEEE.","Cold-start forecasting; contrastive explanations; interpretable ML (iML); retail promotions; supply chain","Commerce; Decision trees; Forecasting; Personnel training; Boosted decision trees; Interpretability; Multiple machine; Planning phase; Real markets; Sales forecasting; Surrogate model; Variable importances; Sales"
"Aguilar-Palacios C., Munoz-Romero S., Rojo-Alvarez J.L.","Forecasting Promotional Sales Within the Neighbourhood","10.1109/ACCESS.2019.2920380","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068347274&doi=10.1109%2fACCESS.2019.2920380&partnerID=40&md5=083e43af2ae33d8678ecec452f5689c6","Promotions are a widely used strategy to engage consumers and as such, retailers dedicate immense effort and resources to their planning and forecasting. This paper introduces a novel interpretable machine learning method specifically tailored to the automatic prediction of promotional sales in real-market applications. Particularly, we present fully automated weighted k-nearest neighbors where the distances are calculated based on a feature selection process that focuses on the similarity of promotional sales. The method learns online, thereby avoiding the model being retrained and redeployed. It is robust and able to infer the mechanisms leading to sales as demonstrated on detailed surrogate models. Also, to validate this method, real market data provided by a worldwide retailer have been used, covering numerous categories from three different countries and several types of stores. The algorithm is benchmarked against an ensemble of regression trees and the forecast provided by the retailer and it outperforms both on a merit figure composed not only by the mean absolute error but also by the error deviations used in the retail business. The proposed method significantly improves the accuracy of the forecast in many diverse categories and geographical locations, yielding significant and operative benefits for supply chains. Additionally, we briefly discuss in the Appendix how to deploy our method as a RESTful service in a production environment. © 2013 IEEE.","Automated feature selection; non-negative least squares; online learning; predictive models; promotions; supply chain; weighted k-nearest neighbors","Commerce; Feature extraction; Forecasting; Motion compensation; Nearest neighbor search; Sales; Supply chains; Trees (mathematics); Automated features; Least Square; Online learning; Predictive models; promotions; Weighted k-nearest neighbors; Learning systems"
"Aguirre-Zapata E., Morales H., Dagatti C.V., di Sciascio F., Amicarelli A.N.","Semi physical growth model of Lobesia botrana under laboratory conditions for Argentina's Cuyo region","10.1016/j.ecolmodel.2021.109803","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119932566&doi=10.1016%2fj.ecolmodel.2021.109803&partnerID=40&md5=178bad598f92a33dfa267e6b20229be1","Lobesia botrana is a quarantine pest from Argentina and other countries in the world. It causes damage to the vine in its different growth stages leading to losses in wine production. To develop pest control strategies based on knowledge of the moth, different mathematical models can be found in specific literature to predict its biological cycle, establish its relationship with environmental variables, describe the voltinism of the pest, among others. Based on the proposed models, it is possible to establish a minimum temperature threshold considering the development of the moth and the number of degrees’ days (DD) that must be accumulated for there to be a change of stage. Many of these models are empirical. They are limited because they do not consider some variables such as growth and mortality rates, also they lack a conceptual basis. This makes that professionals or institutions interested in the development of decision support systems (DSS) may not use them. This also prevents them from being easily extrapolated to other regions of the world. In this work, a semi-physical model based on first principles (FPBSM) is proposed to describe how the different growth stages of the vine moth change quantitatively throughout its normal development time under controlled and specific laboratory conditions for the Cuyo region in Argentina. The proposed model, based on a white box structure, considers important parameters in the development of the moth, such as growth and mortality rates. Opposite to the models reported in the literature, the proposed model is conceptually more simple, easy to calculate or adjust, and Its parameters are interpretable in the model's application context. The previous characteristics facilitate the proposal model's use by sectors interested in the development of DSS systems. The reported mathematical model has been validated with experimental data for three different temperature conditions. © 2021 Elsevier B.V.","European grape moth; FPBSM; Lobesia botrana; Mathematical modeling","Artificial intelligence; Population statistics; Wine; Argentina; Different growth stages; European grape moth; FPBSM; Growth models; Laboratory conditions; Lobesium botranum; Mathematical modeling; Model-based OPC; Mortality rate; Decision support systems; crop pest; growth rate; mortality; moth; numerical model; quarantine; vine; Argentina; Lobesia botrana"
"Ahmed M.A., Chatterjee M., Dadure P., Pakray P.","The Role of Biased Data in Computerized Gender Discrimination","10.1145/3524501.3527599","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138406970&doi=10.1145%2f3524501.3527599&partnerID=40&md5=c6a81196e14f8d6fb6df056669fcbfa6","Gender bias is prevalent in all walks of life from schools to colleges, corporate as well as government offices. This has led to the under-representation of the female gender in many professions. Most of the Artificial Intelligence-Natural Language Processing (AI-NLP) models learning from these underrepresented real world datasets amplify the bias in many cases, resulting in traditional biases being reinforced. In this paper, we have discussed how gender bias became ingrained in our society and how it results in the underrepresentation of the female gender in several fields such as education, healthcare, STEM, film industry, food industry, and sports. We shed some light on how traditional gender bias is reflected in AI-NLP systems such as automated resume screening, machine translation, text generation, etc. Future prospects of these AI-NLP applications need to include possible solutions to these existing biased AI-NLP applications, such as debiasing the word embeddings and having guidelines for more ethical and transparent standards. ACM Reference Format: Md. Arshad Ahmed, Madhura Chatterjee, Pankaj Dadure, and Partha Pakray. 2022. The Role of Biased Data in Computerized Gender Discrimination. In Third Workshop on Gender Equality, Diversity, and Inclusion in Software Engineering (GE@ICSE'22), May 20, 2022, Pittsburgh, PA, USA. ACM, New York, NY, USA, 6 pages. https://doi.org/10.1145/3524501.3527599 © 2022 ACM.","Artificial Intelligence; Debiasing; Gender Bias; Natural Language Processing","Natural language processing systems; Software engineering; Corporate offices; De-biasing; Gender bias; Gender discrimination; Government offices; Language processing; Natural language processing; Natural language processing applications; Natural languages; Processing model; Artificial intelligence"
"Ahmed M.S., Tazwar M.T., Khan H., Roy S., Iqbal J., Rabiul Alam M.G., Hassan M.R., Hassan M.M.","Yield Response of Different Rice Ecotypes to Meteorological, Agro-Chemical, and Soil Physiographic Factors for Interpretable Precision Agriculture Using Extreme Gradient Boosting and Support Vector Regression","10.1155/2022/5305353","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139490887&doi=10.1155%2f2022%2f5305353&partnerID=40&md5=91ebeaa7d8d3c6f433b56bbc7949f169","The food security of more than half of the world's population depends on rice production which is one of the key objectives of precision agriculture. The traditional rice almanac used astronomical and climate factors to estimate yield response. However, this research integrated meteorological, agro-chemical, and soil physiographic factors for yield response prediction. Besides, the impact of those factors on the production of three major rice ecotypes has also been studied in this research. Moreover, this study found a different set of those factors with respect to the yield response of different rice ecotypes. Machine learning algorithms named Extreme Gradient Boosting (XGBoost) and Support Vector Regression (SVR) have been used for predicting the yield response. The SVR shows better results than XGBoost for predicting the yield of the Aus rice ecotype, whereas XGBoost performs better for forecasting the yield of the Aman and Boro rice ecotypes. The result shows that the root mean squared error (RMSE) of three different ecotypes are in between 9.38% and 24.37% and that of R-squared values are between 89.74% and 99.13% on two different machine learning algorithms. Moreover, the explainability of the models is also shown in this study with the help of the explainable artificial intelligence (XAI) model called Local Interpretable Model-Agnostic Explanations (LIME). © 2022 Md. Sabbir Ahmed et al.",,"Adaptive boosting; Food supply; Forecasting; Lime; Machine learning; Mean square error; Agro-chemicals; Food security; Gradient boosting; Key objective; Machine learning algorithms; Precision Agriculture; Rice production; Support vector regressions; World population; Yield response; Precision agriculture"
"Albraikan A.A., Aljebreen M., Alzahrani J.S., Othman M., Mohammed G.P., Ibrahim Alsaid M.","Modified Barnacles Mating Optimization with Deep Learning Based Weed Detection Model for Smart Agriculture","10.3390/app122412828","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144865047&doi=10.3390%2fapp122412828&partnerID=40&md5=8a7a7681a3b0b8a1b4c8817c90d46af4","Weed control is a significant means to enhance crop production. Weeds are accountable for 45% of the agriculture sector’s crop losses, which primarily occur because of competition with crops. Accurate and rapid weed detection in agricultural fields was a difficult task because of the presence of a wide range of weed species at various densities and growth phases. Presently, several smart agriculture tasks, such as weed detection, plant disease detection, species identification, water and soil conservation, and crop yield prediction, can be realized by using technology. In this article, we propose a Modified Barnacles Mating Optimization with Deep Learning based weed detection (MBMODL-WD) technique. The MBMODL-WD technique aims to automatically identify the weeds in the agricultural field. Primarily, the presented MBMODL-WD technique uses the Gabor filtering (GF) technique for the noise removal process. For automated weed detection, the presented MBMODL-WD technique uses the DenseNet-121 model as feature extraction with the MBMO algorithm as hyperparameter optimization. The design of the MBMO algorithm involves the integration of self-population-based initialization with the standard BMO algorithm. At last, the Elman Neural Network (ENN) method was applied for the weed classification process. To demonstrate the enhanced performance of the MBMODL-WD approach, a series of simulation analyses were performed. A comprehensive set of simulations highlighted the enhanced performance of the presented MBMODL-WD methodology over other DL models with a maximum accuracy of 98.99%. © 2022 by the authors.","computer vision; crop productivity; deep learning; smart agriculture; weed management",
